                  20170515 洛阳钼业 (603993)
 时间	    价格	    成交	笔数	
09:25	    4.13	    2138	0	
09:30	    4.13	      10	0	S	
09:30	    4.14	     996	0	B	
09:30	    4.14	      62	0	S	
09:30	    4.16	       4	0	B	
09:30	    4.14	      66	0	S	
09:30	    4.14	      18	0	S	
09:30	    4.16	       6	0	B	
09:30	    4.16	       1	0	B	
09:30	    4.16	     106	0	B	
09:30	    4.15	     225	0	S	
09:30	    4.15	     130	0	B	
09:30	    4.15	      10	0	B	
09:30	    4.15	     138	0	B	
09:31	    4.15	     239	0	B	
09:31	    4.15	     220	0	B	
09:31	    4.15	       1	0	B	
09:31	    4.15	      15	0	B	
09:31	    4.15	      23	0	B	
09:31	    4.15	      30	0	B	
09:31	    4.15	      36	0	B	
09:31	    4.15	     232	0	B	
09:31	    4.15	      70	0	B	
09:31	    4.15	      19	0	B	
09:31	    4.15	     190	0	B	
09:31	    4.15	      20	0	B	
09:31	    4.15	       8	0	B	
09:31	    4.15	      25	0	B	
09:31	    4.14	    1766	0	S	
09:31	    4.14	     103	0	B	
09:32	    4.14	     283	0	B	
09:32	    4.15	      50	0	B	
09:32	    4.14	      28	0	S	
09:32	    4.15	       8	0	B	
09:32	    4.15	       3	0	B	
09:32	    4.13	      82	0	S	
09:32	    4.14	      38	0	S	
09:32	    4.14	      40	0	B	
09:32	    4.14	      30	0	B	
09:32	    4.14	     156	0	B	
09:32	    4.15	      51	0	B	
09:32	    4.15	      43	0	B	
09:32	    4.15	     152	0	B	
09:32	    4.15	       9	0	B	
09:32	    4.14	      80	0	S	
09:32	    4.15	      14	0	B	
09:32	    4.14	      74	0	S	
09:32	    4.15	     213	0	B	
09:33	    4.14	     225	0	S	
09:33	    4.13	    3000	0	S	
09:33	    4.14	       1	0	
09:33	    4.13	     119	0	S	
09:33	    4.14	       5	0	B	
09:33	    4.14	      14	0	B	
09:33	    4.14	      50	0	B	
09:33	    4.14	     126	0	B	
09:33	    4.14	      67	0	B	
09:33	    4.13	     102	0	S	
09:33	    4.14	      26	0	B	
09:33	    4.14	      25	0	B	
09:33	    4.14	      18	0	B	
09:33	    4.14	       5	0	B	
09:34	    4.14	      71	0	B	
09:34	    4.14	     633	0	B	
09:34	    4.14	     110	0	B	
09:34	    4.14	     107	0	B	
09:34	    4.14	     386	0	B	
09:34	    4.13	     497	0	S	
09:34	    4.14	      52	0	B	
09:34	    4.13	     252	0	S	
09:34	    4.14	       1	0	B	
09:34	    4.12	     251	0	S	
09:34	    4.13	      19	0	
09:34	    4.13	      33	0	B	
09:34	    4.13	      41	0	B	
09:34	    4.14	     642	0	B	
09:34	    4.12	      46	0	S	
09:34	    4.13	      17	0	B	
09:34	    4.13	      15	0	B	
09:34	    4.13	      11	0	B	
09:35	    4.12	       8	0	S	
09:35	    4.13	     135	0	B	
09:35	    4.13	      88	0	B	
09:35	    4.12	      60	0	S	
09:35	    4.12	      12	0	S	
09:35	    4.13	      20	0	B	
09:35	    4.13	      72	0	B	
09:35	    4.13	      64	0	S	
09:35	    4.12	      82	0	S	
09:35	    4.13	     108	0	B	
09:35	    4.14	      30	0	B	
09:35	    4.13	     326	0	S	
09:35	    4.13	       7	0	B	
09:35	    4.13	     144	0	B	
09:35	    4.13	      47	0	B	
09:35	    4.13	      70	0	B	
09:36	    4.13	     728	0	B	
09:36	    4.13	      25	0	B	
09:36	    4.13	     141	0	B	
09:36	    4.13	      87	0	B	
09:36	    4.12	      23	0	S	
09:36	    4.13	      54	0	B	
09:36	    4.13	     215	0	B	
09:36	    4.13	      44	0	B	
09:36	    4.13	      37	0	B	
09:36	    4.13	      37	0	B	
09:36	    4.13	     892	0	S	
09:36	    4.13	       3	0	S	
09:36	    4.13	       3	0	S	
09:36	    4.13	      50	0	S	
09:36	    4.13	      79	0	S	
09:36	    4.14	      23	0	B	
09:36	    4.14	       9	0	B	
09:37	    4.13	     180	0	S	
09:37	    4.14	      42	0	B	
09:37	    4.14	      28	0	B	
09:37	    4.14	       4	0	B	
09:37	    4.13	      17	0	S	
09:37	    4.13	      50	0	S	
09:37	    4.15	    2013	0	B	
09:37	    4.13	      37	0	S	
09:37	    4.13	      22	0	S	
09:37	    4.14	     496	0	B	
09:37	    4.14	      67	0	S	
09:37	    4.14	     230	0	S	
09:37	    4.15	       3	0	B	
09:37	    4.15	    2613	0	B	
09:37	    4.15	       9	0	S	
09:37	    4.15	     482	0	S	
09:38	    4.15	      25	0	S	
09:38	    4.16	       2	0	B	
09:38	    4.16	       4	0	B	
09:38	    4.16	     101	0	B	
09:38	    4.16	     133	0	B	
09:38	    4.16	      38	0	B	
09:38	    4.16	     117	0	B	
09:38	    4.16	       2	0	B	
09:38	    4.16	     887	0	B	
09:38	    4.15	     151	0	S	
09:38	    4.16	      90	0	B	
09:38	    4.16	     127	0	B	
09:38	    4.16	    1189	0	B	
09:38	    4.16	     403	0	B	
09:38	    4.16	     134	0	B	
09:39	    4.16	      12	0	B	
09:39	    4.15	     138	0	S	
09:39	    4.16	     140	0	B	
09:39	    4.16	      25	0	B	
09:39	    4.15	     536	0	S	
09:39	    4.16	    1016	0	B	
09:39	    4.16	     321	0	S	
09:39	    4.15	     133	0	S	
09:39	    4.16	       4	0	B	
09:39	    4.16	     366	0	B	
09:39	    4.16	     150	0	S	
09:39	    4.16	     135	0	S	
09:39	    4.16	     138	0	S	
09:39	    4.16	      80	0	S	
09:39	    4.16	      80	0	S	
09:39	    4.16	     355	0	S	
09:39	    4.16	     164	0	B	
09:39	    4.16	     959	0	B	
09:40	    4.16	      93	0	S	
09:40	    4.16	     810	0	S	
09:40	    4.16	     105	0	S	
09:40	    4.16	     119	0	S	
09:40	    4.17	     193	0	B	
09:40	    4.16	     423	0	S	
09:40	    4.16	     150	0	S	
09:40	    4.16	     187	0	S	
09:40	    4.17	      84	0	B	
09:40	    4.17	      12	0	B	
09:40	    4.17	      25	0	B	
09:40	    4.16	      25	0	S	
09:40	    4.17	      71	0	B	
09:40	    4.17	     221	0	B	
09:40	    4.16	     589	0	S	
09:40	    4.17	      39	0	B	
09:40	    4.16	     210	0	S	
09:41	    4.17	      62	0	B	
09:41	    4.16	      20	0	S	
09:41	    4.16	      21	0	S	
09:41	    4.17	      26	0	B	
09:41	    4.17	       2	0	B	
09:41	    4.16	     468	0	S	
09:41	    4.17	       9	0	B	
09:41	    4.16	     221	0	S	
09:41	    4.17	    5164	0	B	
09:41	    4.16	      30	0	S	
09:41	    4.17	      78	0	
09:41	    4.17	     117	0	S	
09:41	    4.17	     125	0	B	
09:41	    4.17	     229	0	B	
09:41	    4.16	     245	0	S	
